rxn_formula,example reaction id,using dS_f data,extend of using dS_f data,dS_r_from_slope,dS_r_from_dG_r_and_dH_r,median_dG_r,rxn_formula_name,enzyme name,EC number
CHB_15377 + CHB_15428 + CHB_15846 = CHB_16134 + CHB_16891 + CHB_16908,Keq_1305,-59.32516634,0.833333333,,,55396.58274,glycine(aq) + NAD(aq) + H2O(l) = glyoxylate(aq) + NADH(aq) + ammonia(aq),glycine dehydrogenase,1.4.1.10
CHB_15377 + CHB_15603 + CHB_15846 = CHB_16134 + CHB_16908 + CHB_48430,Keq_1282,4.925394999,0.833333333,,,77407.72965,L-leucine(aq) + NAD(aq) + H2O(l) = 4-methyl-2-oxopentanoate(aq) + NADH(aq) + ammonia(aq),leucine dehydrogenase,1.4.1.9
CHB_15377 + CHB_15805 + CHB_15846 = CHB_15361 + CHB_16467 + CHB_16908,Keq_3560,4.708838645,0.833333333,,,75779.36003,N-2-(D-1-carboxyethyl)-L-arginine(aq) + NAD(aq) + H2O(l) = L-arginine(aq) + pyruvate(aq) + NADH(aq),D-octopine dehydrogenase,1.5.1.11
CHB_15377 + CHB_15846 + CHB_857 = CHB_15361 + CHB_16908 + CHB_16977,Keq_3558,37.40338923,0.833333333,,,77188.31615,"2,2'-iminodipropanoate(aq) + NAD(aq) + H2O(l) = L-alanine(aq) + pyruvate(aq) + NADH(aq)",alanopine dehydrogenase,1.5.1.17
CHB_15377 + CHB_15846 + CHB_16439 = CHB_15361 + CHB_15428 + CHB_16908,Keq_3559,45.24116405,0.833333333,,,79676.81195,N-(carboxymethyl)-D-alanine(aq) + NAD(aq) + H2O(l) = glycine(aq) + pyruvate(aq) + NADH(aq),alanopine dehydrogenase,1.5.1.17
CHB_15377 + CHB_15846 + CHB_16927 = CHB_16810 + CHB_16908 + CHB_18019,Keq_128,-91.36608668,0.833333333,,,79804.33938,"N6-(L-1,3-dicarboxypropyl)-L-lysine(aq) + NAD(aq) + H2O(l) = L-lysine(aq) + 2-oxoglutarate(aq) + NADH(aq)","saccharopine dehydrogenase (NAD+, L-lysine-forming)",1.5.1.7
CHB_15996 + CHB_17202 + CHB_29991 = CHB_15919 + CHB_17552 + CHB_26078,Keq_1066,-221.3417597,0.833333333,,,71418.58082,GTP(aq) + IMP(aq) + L-aspartate(aq) = GDP(aq) + orthophosphate(aq) + adenylosuccinate(aq),adenylosuccinate synthase,6.3.4.4
CHB_16087 + CHB_18009 = CHB_16474 + CHB_16526 + CHB_16810,Keq_1779,44.41988622,0.8,,,1295.082508,isocitrate(aq) + NADP(aq) = 2-oxoglutarate(aq) + NADPH(aq) + CO2(aq),isocitrate dehydrogenase (NADP+),1.1.1.42
CHB_15377 + CHB_18009 + CHB_4170 = CHB_16474 + CHB_48928,Keq_3508,-210.2382632,0.8,,,61506.39749,D-glucose 6-phosphate(aq) + NADP(aq) + H2O(l) = 6-phospho-D-gluconate(aq) + NADPH(aq),glucose-6-phosphate dehydrogenase and 6-phosphogluconolactonase,1.1.1.49
CHB_15377 + CHB_15422 + CHB_16189 = CHB_17709 + 2 CHB_26078,Keq_1087,-116.8227412,0.8,,,-14213.62895,ATP(aq) + sulfate(aq) + H2O(l) = 2 orthophosphate(aq) + adenosine 5'-phosphosulfate(aq),sulfate adenylyltransferase and inorganic pyrophosphatase,2.7.7.4
CHB_15377 + PBC_11823089 = CHB_4139 + CHB_46994,Keq_3922,-19.3731115,0.75,47.95049809,47.95049809,-11513.23617,3-O--D-galactopyranosyl-D-arabinose(aq) + H2O(l) = D-galactose(aq) + D-arabinose(aq),_-galactosidase,3.2.1.23
CHB_15846 + CHB_16899 = CHB_16908 + CHB_37721,Keq_1356,-83.59452082,0.75,,,50441.11311,D-mannitol(aq) + NAD(aq) = D-fructose(aq) + NADH(aq),mannitol dehydrogenase,1.1.1.67
CHB_15846 + CHB_32796 = CHB_16810 + CHB_16908,Keq_3603,-76.63193614,0.75,,,70064.54573,(R)-2-hydroxyglutarate(aq) + NAD(aq) = 2-oxoglutarate(aq) + NADH(aq),(R)-2-hydroxyglutarate dehydrogenase,1.1.99.39
CHB_17044 + CHB_18009 = CHB_16474 + CHB_4170,Keq_2965,-98.05002339,0.75,,,56387.87481,D-sorbitol 6-phosphate(aq) + NADP(aq) = D-glucose 6-phosphate(aq) + NADPH(aq),sorbitol-6-phosphate dehydrogenase (NADP+),1.1.1.140
CHB_15846 + CHB_35986 = CHB_16908 + CHB_84268,Keq_1737,-35.04776203,0.75,,,58532.40418,1-nonanol(aq) + NAD(aq) = nonanal(aq) + NADH(aq),alcohol dehydrogenase,1.1.1.1
CHB_18009 + CHB_4167 = CHB_16217 + CHB_16474,Keq_1428,-73.57840308,0.75,,,43473.90975,"D-glucose(aq) + NADP(aq) = D-glucono-1,5-lactone(aq) + NADPH(aq)",glucose dehydrogenase (NADP+),1.1.1.119
CHB_18009 + CHB_37721 = CHB_16474 + MAN_10209,Keq_1465,-123.2657114,0.75,,,64147.35339,D-fructose(aq) + NADP(aq) = 5-dehydro-D-fructose(aq) + NADPH(aq),fructose 5-dehydrogenase (NADP+),1.1.1.124
CHB_15846 + CHB_17924 = CHB_16908 + CHB_37721,Keq_434,-82.99779423,0.75,-124.462146,-124.462146,51961.56729,D-sorbitol(aq) + NAD(aq) = D-fructose(aq) + NADH(aq),L-iditol dehydrogenase,1.1.1.14
CHB_15846 + CHB_18333 = CHB_16908 + CHB_28552,Keq_3850,-100.0611048,0.75,,,60697.34994,D-arabitol(aq) + NAD(aq) = D-ribulose(aq) + NADH(aq),L-iditol 2-dehydrogenase,1.1.1.14
CHB_15846 + CHB_17044 = CHB_16908 + CHB_61553,Keq_1181,-35.78186939,0.75,,,54472.72656,D-sorbitol 6-phosphate(aq) + NAD(aq) = D-fructose 6-phosphate(aq) + NADH(aq),sorbitol-6-phosphate dehydrogenase,1.1.1.140
CHB_15846 + CHB_16298 = CHB_16908 + CHB_61553,Keq_2974,-35.48655794,0.75,,,50469.11123,D-mannitol-1-phosphate(aq) + NAD(aq) = D-fructose 6-phosphate(aq) + NADH(aq),mannitol-1-phosphate 5-dehydrogenase,1.1.1.17
CHB_17151 + CHB_18009 = CHB_16474 + CHB_53455,Keq_3338,-159.8975998,0.75,,,58406.73601,xylitol(aq) + NADP(aq) = D-xylose(aq) + NADPH(aq),aldehyde reductase,1.1.1.21
CHB_15846 + CHB_29805 = CHB_16891 + CHB_16908,Keq_1770,-51.84590654,0.75,,,87151.8285,glycolate(aq) + NAD(aq) = glyoxylate(aq) + NADH(aq),glyoxylate reductase,1.1.1.26
CHB_1148 + CHB_15846 = CHB_16763 + CHB_16908,Keq_34,-32.67135956,0.75,,,63033.91282,D-2-hydroxy-n-butanoate(aq) + NAD(aq) = 2-oxobutanoate(aq) + NADH(aq),D-lactate dehydrogenase,1.1.1.28
CHB_15846 + CHB_4167 = CHB_16217 + CHB_16908,Keq_524,-38.57840308,0.75,,,37197.19718,"D-glucose(aq) + NAD(aq) = D-glucono-1,5-lactone(aq) + NADH(aq)",glucose dehydrogenase,1.1.1.47
CHB_15846 + CHB_4139 = CHB_15895 + CHB_16908,Keq_2504,-21.06069496,0.75,,,27036.32615,"D-galactose(aq) + NAD(aq) = D-galactono-1,4-lactone(aq) + NADH(aq)",galactose dehydrogenase,1.1.1.48
CHB_18009 + CHB_4170 = CHB_16474 + CHB_16938,Keq_2249,-95.18044374,0.75,,,36572.50609,"D-glucose 6-phosphate(aq) + NADP(aq) = D-glucono-1,5-lactone 6-phosphate(aq) + NADPH(aq)",glucose-6-phosphate dehydrogenase,1.1.1.49
CHB_15846 + CHB_17754 = CHB_16016 + CHB_16908,Keq_743,-57.32253607,0.75,,,66054.67111,glycerol(aq) + NAD(aq) = dihydroxyacetone(aq) + NADH(aq),glycerol dehydrogenase,1.1.1.6
CHB_16899 + CHB_18009 = CHB_16474 + CHB_37721,Keq_4084,-118.5945208,0.75,,,53758.26292,D-mannitol(aq) + NADP(aq) = D-fructose(aq) + NADPH(aq),mannitol dehydrogenase,1.1.1.67
CHB_17754 + CHB_18009 = CHB_16474 + CHB_17378,Keq_2091,-115.5196932,0.75,,,81582.97441,glycerol(aq) + NADP(aq) = (R)-glyceraldehyde(aq) + NADPH(aq),glycerol dehydrogenase (NADP+),1.1.1.72
CHB_18009 + CHB_29805 = CHB_16474 + CHB_16891,Keq_1485,-86.84590654,0.75,,,105432.7556,glycolate(aq) + NADP(aq) = glyoxylate(aq) + NADPH(aq),glyoxylate reductase (NADP+),1.1.1.79
CHB_15846 + CHB_18202 = CHB_16908 + CHB_48649,Keq_1135,-103.283036,0.75,-143.1573679,-143.1573679,51081.98728,L-iditol(aq) + NAD(aq) = L-sorbose(aq) + NADH(aq),D-xylulose reductase,1.1.1.9
CHB_15846 + CHB_17151 = CHB_16908 + CHS_388344,Keq_1140,-85.49759982,0.75,-93.53890016,-93.53890016,61937.19704,xylitol(aq) + NAD(aq) = D-xylulose(aq) + NADH(aq),D-xylulose reductase,1.1.1.9
CHB_16240 + CHB_18022 = CHB_15377 + MAN_10119,Keq_3579,-81.84573626,0.75,,,-65243.20789,H2O2(aq) + thiocyanate(aq) = oxidized thiocyanate(aq) + H2O(l),peroxidase,1.11.1.7
CHB_17203 + CHB_18009 = CHB_16474 + CHB_36761,Keq_3481,-149.0956881,0.75,,,117293.594,(S)-proline(aq) + NADP(aq) = D-1-pyrroline-2-carboxylate(aq) + NADPH(aq),pyrroline-2-carboxylate reductase,1.5.1.1
CHB_17203 + CHB_18009 = CHB_16474 + CHB_58667,Keq_3029,-163.1256501,0.75,,,134927.7479,(S)-proline(aq) + NADP(aq) = D-1-pyrroline-5-carboxylate(aq) + NADPH(aq),pyrroline-5-carboxylate reductase,1.5.1.2
CHB_18066 + CHB_37721 = CHB_17659 + CHB_17992,Keq_1381,132.5197215,0.75,,,2905.637342,UDPglucose(aq) + D-fructose(aq) = UDP(aq) + sucrose(aq),sucrose synthase,2.4.1.13
CHB_15751 + CHB_37721 = CHB_16761 + CHB_17992,Keq_1499,123.8229131,0.75,,,8318.799041,ADPglucose(aq) + D-fructose(aq) = ADP(aq) + sucrose(aq),sucrose synthase,2.4.1.13
CHB_17992 + CHB_26078 = CHB_16077 + CHB_37721,Keq_3703,-90.68412872,0.75,,,31342.79314,sucrose(aq) + orthophosphate(aq) = D-glucose 1-phosphate(aq) + D-fructose(aq),sucrose phosphorylase,2.4.1.7
CHB_17306 + CHB_26078 = CHB_16077 + CHB_4167,Keq_451,-4.200865722,0.75,,,43139.0444,maltose(aq) + orthophosphate(aq) = D-glucose(aq) + D-glucose 1-phosphate(aq),maltose phosphorylase,2.4.1.8
CHB_17596 + CHB_26078 = CHB_17368 + CHB_35425,Keq_4003,-39.84686721,0.75,,,49213.6361,inosine(aq) + orthophosphate(aq) = hypoxanthine(aq) + D-ribose 1-phosphate(aq),purine-nucleoside phosphorylase,2.4.2.1
CHB_26078 + CHB_45996 = CHB_17821 + CHB_35425,Keq_3874,-65.14153501,0.75,,,46247.40925,5-methyluridine(aq) + orthophosphate(aq) = thymine(aq) + D-ribose 1-phosphate(aq),pyrimidine-nucleoside phosphorylase,2.4.2.2
CHB_16708 + CHB_17111 = CHB_16027 + CHB_18361,Keq_1493,-20.27416917,0.75,,,21618.4901,adenine(aq) + 5-phospho--D-ribose 1-diphosphate(aq) = AMP(aq) + pyrophosphate(aq),adenine phosphoribosyltransferase,2.4.2.7
CHB_16235 + CHB_17111 = CHB_17345 + CHB_18361,Keq_4000,-13.07768917,0.75,,,11136.16087,guanine(aq) + 5-phospho--D-ribose 1-diphosphate(aq) = GMP(aq) + pyrophosphate(aq),hypoxanthine phosphoribosyltransferase,2.4.2.8
CHB_17345 + CHB_17368 = CHB_16235 + CHB_17202,Keq_3210,3.76525381,0.75,,,-5202.489962,GMP(aq) + hypoxanthine(aq) = IMP(aq) + guanine(aq),hypoxanthine phosphoribosyltransferase,2.4.2.8
CHB_15361 + CHB_18050 = CHB_16769 + CHB_16977,Keq_2066,-7.097360655,0.75,,,-15832.20633,L-glutamine(aq) + pyruvate(aq) = 2-oxoglutaramate(aq) + L-alanine(aq),glutamine-pyruvate aminotransaminase,2.6.1.15
CHB_15428 + CHB_16452 = CHB_16891 + CHB_29991,Keq_1488,-113.9978685,0.75,,,8685.042343,glycine(aq) + oxaloacetate(aq) = glyoxylate(aq) + L-aspartate(aq),glycine-oxaloacetate transaminase,2.6.1.35
CHB_16414 + CHB_16810 = CHB_11851 + CHB_29985,Keq_10,91.2328184,0.75,,,-2699.029597,L-valine(aq) + 2-oxoglutarate(aq) = 2-oxoisovalerate(aq) + L-glutamate(aq),branched-chain-amino-acid transferase,2.6.1.42
CHB_15603 + CHB_16810 = CHB_29985 + CHB_48430,Keq_11,97.8799138,0.75,32.08149371,32.08149371,-3660.189748,L-leucine(aq) + 2-oxoglutarate(aq) = 2-oxoisocaproate(aq) + L-glutamate(aq),branched-chain-amino-acid transferase,2.6.1.42
CHB_16810 + CHB_17295 = CHB_29985 + CHB_30851,Keq_4219,81.3703591,0.75,36.20063504,36.20063504,-1703.331939,L-phenylalanine(aq) + 2-oxoglutarate(aq) = phenylpyruvate(aq) + L-glutamate(aq),tyrosine aminotransferase,2.6.1.5
CHB_16810 + CHB_17895 = CHB_29985 + CHB_36242,Keq_4221,99.61330599,0.75,34.79435719,34.79435719,-1184.050198,L-tyrosine(aq) + 2-oxoglutarate(aq) = 4-hydroxyphenylpyruvate(aq) + L-glutamate(aq),tyrosine aminotransferase,2.6.1.5
CHB_15422 + CHB_4139 = CHB_16761 + CHB_37480,Keq_1257,-173.4309957,0.75,,,26847.76743,ATP(aq) + D-galactose(aq) = ADP(aq) + D-galactose 1-phosphate(aq),galactokinase,2.7.1.6
CHB_17115 + CHB_18361 = CHB_15811 + CHB_26078,Keq_2060,-213.8604837,0.75,,,-22528.71648,pyrophosphate(aq) + L-serine(aq) = orthophosphate(aq) + O-phospho-L-serine(aq),pyrophosphate-serine phosphotransferase,2.7.1.80
CHB_10589 + CHB_15422 = CHB_18361 + MAN_10044,Keq_3990,-66.29399612,0.75,,,19554.54908,3-methylbenzoic acid(aq) + ATP(aq) = 3-methylbenzoic acid adenylate(aq) + pyrophosphate(aq),actinomycin synthetase I,2.7.2
CHB_15422 + CHB_36635 = CHB_18361 + MAN_10051,Keq_3993,-61.60626854,0.75,,,17430.33599,4-methylbenzoic acid(aq) + ATP(aq) = 4-methylbenzoic acid adenylate(aq) + pyrophosphate(aq),actinomycin synthetase I,2.7.2
CHB_15422 + CHB_30746 = CHB_18361 + MAN_10047,Keq_3994,-83.89586057,0.75,,,27585.00105,benzoic acid(aq) + ATP(aq) = benzoic acid adenylate(aq) + pyrophosphate(aq),actinomycin synthetase I,2.7.2
CHB_15422 + CHB_30089 = CHB_15350 + CHB_16761,Keq_341,-89.70314184,0.75,,,7000.893842,ATP(aq) + acetate(aq) = ADP(aq) + acetyl phosphate(aq),acetate kinase,2.7.2.1
CHB_15422 + CHB_29991 = CHB_16761 + CHB_30407,Keq_738,-116.5928949,0.75,,,15839.44733,ATP(aq) + L-aspartate(aq) = ADP(aq) + 4-phospho-L-aspartate(aq),aspartate kinase,2.7.2.4
CHB_15422 + CHB_16761 = CHB_16027 + CHB_18334,Keq_3556,-153.9925501,0.75,,,21085.93708,ATP(aq) + ADP(aq) = adenosine 5'-tetraphosphate(aq) + AMP(aq),adenylate kinase,2.7.4.3
CHB_15422 + CHB_52742 = CHB_16027 + CHB_17111,Keq_3998,-212.3486468,0.75,,,38334.8716,ATP(aq) + D-ribose 5-phosphate(aq) = AMP(aq) + 5-phospho--D-ribose 1-diphosphate(aq),ribose-phosphate pyrophosphokinase,2.7.6.1
CHB_15422 + CHB_16189 = CHB_17709 + CHB_18361,Keq_2559,4.257251773,0.75,,,43601.73187,ATP(aq) + sulfate(aq) = pyrophosphate(aq) + adenylylsulfate(aq),sulfate adenylyltransferase,2.7.7.4
CHB_15377 + CHB_4141 = CHB_26078 + CHB_4139,Keq_402,73.4260194,0.75,,,-51524.53384,D-galactose 6-phosphate(aq) + H2O(l) = D-galactose(aq) + orthophosphate(aq),alkaline phosphatase,3.1.3.1
CHB_15377 + CHB_40595 = CHB_26078 + CHB_37515,Keq_395,73.39286371,0.75,,,-9511.114209,"D-fructose 1,6-bisphosphate(aq) + H2O(l) = D-fructose 1-phosphate(aq) + orthophosphate(aq)",alkaline phosphatase,3.1.3.1
CHB_15377 + CHB_37515 = CHB_26078 + CHB_37721,Keq_399,92.60678649,0.75,,,-50315.217,D-fructose 1-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),acid phosphatase,3.1.3.2
CHB_15377 + CHB_15811 = CHB_17115 + CHB_26078,Keq_1285,92.78049066,0.75,,,-49551.57739,L-O-phosphoserine(aq) + H2O(l) = L-serine(aq) + orthophosphate(aq),phosphoserine phosphatase,3.1.3.3
CHB_15377 + MAN_10030 = CHB_35687 + CHB_4167,Keq_209,23.65127169,0.75,,,-7204.655944,2-butyl-D-glucopyranoside(aq) + H2O(l) = (1)-2-butanol(aq) + D-glucose(aq),_-glucosidase,3.2.1.21
CHB_15377 + MAN_10066 = CHB_17824 + CHB_4167,Keq_216,20.86574276,0.75,,,-7327.497587,2-propyl-D-glucopyranoside(aq) + H2O(l) = 2-propanol(aq) + D-glucose(aq),_-glucosidase,3.2.1.21
CHB_15377 + MAN_10100 = CHB_4167 + CHB_46645,Keq_211,29.2156093,0.75,,,-5904.630924,2-methyl-1-propyl-D-glucopyranoside(aq) + H2O(l) = 2-methyl-1-propanol(aq) + D-glucose(aq),_-glucosidase,3.2.1.21
CHB_15377 + PBC_11096585 = CHB_28885 + CHB_4167,Keq_205,27.85783026,0.75,,,-5317.767589,1-butyl-D-glucopyranoside(aq) + H2O(l) = 1-butanol(aq) + D-glucose(aq),_-glucosidase,3.2.1.21
CHB_15377 + PBC_14393376 = CHB_28831 + CHB_4167,Keq_208,26.38928389,0.75,,,-5420.624741,1-propyl-D-glucopyranoside(aq) + H2O(l) = 1-propanol(aq) + D-glucose(aq),_-glucosidase,3.2.1.21
CHB_15377 + CHB_28053 = CHB_4139 + CHB_4167,Keq_3925,39.05182916,0.75,37.05918636,37.05918636,-11929.19641,D-melibiose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),_-glucosidase,3.2.1.21
CHB_15377 + PBC_11127487 = CHB_16236 + CHB_4167,Keq_218,29.39426017,0.75,,,-4856.702511,ethyl-D-glucopyranoside(aq) + H2O(l) = ethanol(aq) + D-glucose(aq),_-glucosidase,3.2.1.21
CHB_15377 + CHB_320061 = CHB_17790 + CHB_4167,Keq_220,35.6109826,0.75,,,-3691.29765,methyl-D-glucopyranoside(aq) + H2O(l) = methanol(aq) + D-glucose(aq),_-glucosidase,3.2.1.21
CHB_15377 + CHB_36229 = CHB_4139 + CHB_4167,Keq_3971,38.24676721,0.75,,,-9816.298745,allolactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),_-galactosidase,3.2.1.23
CHB_15377 + CHB_6359 = CHB_37721 + CHB_4139,Keq_3973,41.63922166,0.75,47.75436629,47.75436629,-12027.96431,lactulose(aq) + H2O(l) = D-galactose(aq) + D-fructose(aq),_-galactosidase,3.2.1.23
CHB_15377 + MAN_10027 = CHB_28543 + CHB_4167,Keq_4182,-4.03381129,0.75,,,-15337.30804,3-O--D-glucopyranosyl-lyxopyranose(aq) + H2O(l) = D-glucose(aq) + lyxose(aq),"glucan 1,4--glucosidase",3.2.1.3
CHB_15377 + CHS_21468848 = CHB_37721 + CHB_4167,Keq_4183,35.38230851,0.75,,,-15658.70024,4-O--D-glucopyranosyl-D-fructofuranose(aq) + H2O(l) = D-glucose(aq) + D-fructose(aq),"glucan 1,4--glucosidase",3.2.1.3
CHB_15377 + CHB_61827 = CHB_4139 + CHB_4167,Keq_4187,39.05182916,0.75,,,-9748.719024,beta-melibiose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),"glucan 1,4--glucosidase",3.2.1.3
CHB_15377 + CHB_17596 = CHB_17368 + CHB_45506,Keq_3903,-25.22335531,0.75,,,-12123.42433,inosine(aq) + H2O(l) = hypoxanthine(aq) + D-ribose(aq),inosine nucleosidase,3.2.2.2
CHB_15377 + PBC_66789 = CHB_16414 + CHB_30089,Keq_3975,-92.6800047,0.75,-0.98310089,-0.98310089,-4033.477137,N-acetyl-L-valine(aq) + H2O(l) = acetate(aq) + L-valine(aq),aminoacylase,3.5.1.14
CHB_15377 + CHB_40992 = CHB_16977 + CHB_30089,Keq_3584,-80.98211459,0.75,-1.933425423,-1.933425423,-4273.54921,N-acetyl-L-alanine(aq) + H2O(l) = acetate(aq) + L-alanine(aq),aminoacylase,3.5.1.14
CHB_15377 + CHB_17645 = CHB_30089 + CHB_35619,Keq_3056,-105.1310586,0.75,,,-4225.54642,N-acetyl-L-amino-n-butyrate(aq) + H2O(l) = acetate(aq) + L-amino-n-butyrate(aq),aminoacylase,3.5.1.14
CHB_15377 + PBC_10972 = CHB_15428 + CHB_30089,Keq_3054,-76.36105235,0.75,,,-3704.37246,N-acetyl-L-glycine(aq) + H2O(l) = acetate(aq) + glycine(aq),aminoacylase,3.5.1.14
CHB_15377 + CHB_21557 = CHB_16643 + CHB_30089,Keq_4105,-83.11426199,0.75,3.781695863,3.781695863,-3140.845955,N-acetyl-L-methionine(aq) + H2O(l) = L-methionine(aq) + acetate(aq),aminoacylase,3.5.1.14
CHB_15377 + MAN_10120 = CHB_16810 + CHB_16830,Keq_1948,-26.7051942,0.75,,,18578.41811,5-hydroxy-N-methylpyroglutamate(aq) + H2O(l) = 2-oxoglutarate(aq) + methylamine(aq),N-methyl-2-oxoglutaramate hydrolase,3.5.1.36
CHB_13941 + CHB_15377 = CHB_16134 + CHB_17544,Keq_4273,14.94642758,0.75,,,-55433.66163,carbamate(aq) + H2O(l) = ammonia(aq) + carbon dioxide(aq),urease,3.5.1.5
CHB_15377 + PBC_101436 = CHB_16704 + CHB_16830,Keq_1990,-6.890975034,0.75,,,-64622.98255,N4-methylcytidine(aq) + H2O(l) = uridine(aq) + methylamine(aq),cytidine deaminase,3.5.4.5
CHB_15377 + CHB_58725 = CHB_16134 + CHB_61553,Keq_1918,44.74604802,0.75,,,2179.136498,D-glucosamine 6-phosphate(aq) + H2O(l) = D-fructose 6-phosphate(aq) + ammonia(aq),glucosamine-6-phosphate isomerase,5.3.1.10
CHB_18148 + CHB_61553 = CHB_40595 + CHB_4170,Keq_1887,15.6367717,0.75,,,-51247.71393,"D-fructose 6-phosphate(aq) + D-glucose 1,6-diphosphate(aq) = D-glucose 6-phosphate(aq) + D-fructose 1,6-bisphosphate(aq)",phosphoglucomutase,5.4.2.2
CHB_15428 + CHB_15635 + CHB_15846 = CHB_16134 + CHB_16526 + CHB_16908 + CHB_1989,Keq_4281,-40.30115219,0.714285714,,,19483.03153,"glycine(aq) + NAD(aq) + tetrahydrofolate(aq) = 5,10-methylenetetrahydrofolate(aq) + NADH(aq) + ammonia(aq) + CO2(aq)",glycine cleavage system,2.1.2.10
CHB_15846 + CHB_16761 + CHB_26078 + CHB_29052 = CHB_15422 + CHB_16908 + CHB_17794,Keq_1835,-109.9602418,0.714285714,,,75291.67065,D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase,1.2.1.12
CHB_15351 + CHB_15377 + CHB_15589 + CHB_15846 = CHB_15346 + CHB_16908 + CHB_30769,Keq_461,-177.793813,0.714285714,,,87369.21169,(S)-malate(aq) + acetyl-CoA(aq) + NAD(aq) + H2O(l) = citrate(aq) + CoA(aq) + NADH(aq),citrate (si)-synthase and malate dehydrogenase,4.1.3.7
CHB_15346 + CHB_15422 + CHB_30769 = CHB_15351 + CHB_16452 + CHB_16761 + CHB_26078,Keq_1638,138.3548976,0.714285714,,,-50729.07336,ATP(aq) + citrate(aq) + CoA(aq) = ADP(aq) + phosphate(aq) + acetyl-CoA(aq) + oxaloacetate(aq),ATP citrate(pro-3S)-lyase,4.1.3.8
CHB_15971 = CHB_16134 + CHB_27247,Keq_4067,50.86866461,0.666666667,16.78960173,16.78960173,-6092.246738,L-histidine(aq) = urocanate(aq) + ammonia(aq),histidine ammonia-lyase,4.3.1.3
CHB_15377 + CHB_15404 + CHB_15846 = CHB_15753 + CHB_16908 + CHB_17544,Keq_129,49.21403381,0.666666667,,,36382.76532,"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate(aq) + NAD(aq) + H2O(l) = 2-oxoadipate(aq) + carbon dioxide(aq) + NADH(aq)",homoisocitrate dehydrogenase,1.1.1.87
CHB_15377 + CHB_15846 + CHB_21282 = CHB_16134 + CHB_16908 + CHB_27713,Keq_2055,15.07342776,0.666666667,,,57376.97994,"L-erythro-3,5-diaminohexanoate(aq) + NAD(aq) + H2O(l) = (S)-5-amino-3-oxohexanoate(aq) + NADH(aq) + ammonia(aq)","L-erythro-3,5-diaminohexanoate dehydrogenase",1.4.1.11
CHB_15377 + CHB_15846 + CHB_16594 = CHB_15914 + CHB_16134 + CHB_16908,Keq_1963,17.80988149,0.666666667,,,70677.09205,"2,4-diaminopentanoate(aq) + NAD(aq) + H2O(l) = 2-amino-4-oxopentanoate(aq) + NADH(aq) + ammonia(aq)","2,4-diaminopentanoate dehydrogenase",1.4.1.12
CHB_15377 + CHB_29985 + PBC_123926 = CHB_16134 + CHB_16810 + MAN_10059,Keq_823,-122.4858506,0.666666667,,,65069.26013,L-glutamate(aq) + AP-NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + AP-NADH(aq) + ammonia(aq),glutamate dehydrogenase,1.4.1.2
CHB_15377 + CHB_29985 + PBC_4481 = CHB_16134 + CHB_16810 + PBC_4066204,Keq_624,-74.3804579,0.666666667,,,34111.32131,L-glutamate(aq) + desamino NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + desamino NADH(aq) + ammonia(aq),glutamate dehydrogenase (NAD(P)+),1.4.1.3
CHB_15377 + CHB_15379 + PBC_193714 = CHB_16134 + CHB_16240 + PBC_193251,Keq_2558,68.87094139,0.666666667,,,-3087.728616,4-dimethylaminomethylbenzylamine(aq) + H2O(l) + O2(aq) = 4-dimethylaminomethylbenzaldehyde(aq) + ammonia(aq) + H2O2(aq),amine oxidase (copper-containing),1.4.3.6
CHB_74819 = CHB_15570 + CHB_16842,Keq_1328,93.55942115,0.666666667,,,21137.68403,2-methylserine(aq) = D-alanine(aq) + formaldehyde(aq),D-alanine 2-hydroxymethyltransferase,2.1.2.7
CHB_28187 = CHB_16523 + CHB_16842,Keq_1327,104.6980745,0.666666667,,,21056.45017,2-hydroxymethylserine(aq) = D-serine(aq) + formaldehyde(aq),D-alanine 2-hydroxymethyltransferase,2.1.2.7
CHB_15346 + CHB_15422 + CHB_30089 = CHB_15351 + CHB_16761 + CHB_26078,Keq_2194,-119.1445044,0.666666667,,,-41350.25333,CoA(aq) + acetate(aq) + ATP(aq) = acetyl-CoA(aq) + ADP(aq) + orthophospate(aq),phosphate acetyltransferase and acetate kinase,2.3.1.8
CHB_15377 + CHB_61988 = 2 CHB_17306,Keq_2763,-66.07601946,0.666666667,,,-14654.34306,maltotetraose(aq) + H2O(l) = 2 maltose(aq),_-amylase,3.2.1.2
CHB_15377 + MAN_10161 = 2 CHB_4208,Keq_4181,13.48830057,0.666666667,,,-18879.97912,1-O--D-mannopyranosyl-D-mannofuranose(aq) + H2O(l) = 2 D-mannose(aq),"glucan 1,4--glucosidase",3.2.1.3
